headline,link,state,district,article_text,summary,keywords,topic,seo_title,meta_description
NEP row: Tamil Nadu chief minister M K Stalin talks of not paying central taxes,https://timesofindia.indiatimes.com/india/nep-row-tamil-nadu-chief-minister-m-k-stalin-talks-of-not-paying-central-taxes/articleshow/118462495.cms,Tamil Nadu,General News,"CUDDALORE: 
Tamil Nadu
 chief minister 
M K Stalin
 upped the ante on Friday in his run-in with the Modi govt over 
National Education Policy
 and devolution of funds, saying it would take 
DMK
 ""just one second to say we won't pay tax that Union govt is collecting from the state,"" reports Bosco Dominique. ""Federalism is about give-and-take,"" Stalin said here. 
Referring to Union education minister Dharmendra Pradhan's statement that TN stood to lose Rs 5,000 crore for not rolling out PM Shri scheme linked to NEP, Stalin said Centre was jealous of states' growth and was trying to impede their development.
Ditch politics for students’ sake, Pradhan tells Stalin on NEP
Accusing the Centre of not giving states their rightful share of resources, Stalin said: “After sucking out all state taxes through the GST regime, the Union govt is refusing to disburse the dues of states. They are refusing to announce new schemes or release funds even for joint projects of the state and Union govts.”
Stalin warned: “Don’t hurl stones at a beehive. Don’t provoke the unique spirit of Tamil people. Don’t seek to witness resurgence of Tamil defiance. As long as I am here, as long as DMK is here, no anti-Tamil, anti-Tamil Nadu, or anti-Tamilian agenda will succeed.”
Pradhan countered Stalin’s opposition to NEP, saying TN’s stance was politically motivated and harmful to students. He shared a letter addressed to Stalin on his X handle, mentioning that it was “highly inappropriate” for a state to oppose NEP with a “narrow-minded approach”. Pradhan accused the TN govt of using “intimidation for political reasons”. He said the Modi govt was fully committed to promoting Tamil culture globally and urged TN to “not politicise education” and instead work “beyond political differences in the best interest of our students”. Pradhan argued NE was a transformative policy aimed at modernising India’s education system while preserving linguistic and cultural diversity. Rejecting allegations of Hindi being imposed on southern states, he said, “Let me unequivocally state there is no question of imposing any language on any state or community.” Stalin told the gathering in Cuddalore that the “real disaster for India” was the Union govt’s alleged failure to understand the fundamental principle of federalism. “NEP is not designed to promote education but to advance the agenda of making India a homogenous nation,” he said.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
.", DMK chief minister M K Stalin upped the ante in his run-in with the Modi govt over NEP . Stalin said Centre was jealous of states' growth and was trying to impede their development . Union education minister Dharmendra Pradhan accused the TN govt of using “intimidation for political reasons”,"[('Stalin', 9), ('govt', 6), ('Union', 5), ('state', 5), ('Pradhan', 5)]",Miscellaneous,NEP row: Tamil Nadu chief minister M K Stalin talks of not paying central taxes - Miscellaneous,NEP row: Tamil Nadu chief minister M K Stalin talks of not paying central taxes -  DMK chief minister M K Stalin upped the ante in his run-in with the Modi govt over NEP . Stalin said Centre was jealous of states' growth and was trying to impede their development . Union education minister Dharmendra Pradhan accused the TN govt of using “intimidation for political reasons”
"Year-round plan in works to tackle air, water pollution: Delhi CM Rekha Gupta",https://timesofindia.indiatimes.com/india/year-round-plan-in-works-to-tackle-air-water-pollution-delhi-cm-rekha-gupta/articleshow/118462335.cms,Delhi,Delhi,"NEW DELHI: Chief minister 
Rekha Gupta
 told TOI in an exclusive interview on Friday, just over 30 hours after being sworn in, that dealing with pollution has to be a year-round activity and her govt will have a 365-day plan.
The 
BJP
 govt, sworn in on Thursday, has already indicated its resolve to clean the Yamuna in a time-bound manner. Environmentalists and people concerned over the worsening air pollution in the city have been pointing out that waking up just before winter with a band-aid approach doesn't mitigate pollution. The chief minister seems to agree with that.
""We believe that work on pollution has to be carried out around the year, be it dust or parali (stubble), vehicular or water pollution. Therefore, we will bring a 365-day plan,"" she said.
Concerned about any water or power crisis this summer because of rising demand, Gupta said a long-term plan will be drafted to seek water from UP, Uttarakhand, Haryana and Punjab. ""I am Haryana's daughter too and I will ask them for more water,"" she said, hopefully. Except for Punjab, all these states have BJP govts.
When asked about the criteria for 
Mahila Samriddhi Yojana
 under which Rs 2,500 will be given to women as promised in BJP's manifesto, Gupta said welfare measures should benefit the deprived sections first.
She expressed concern about the state of the treasury in Delhi and said they would tap additional resources and check wastage to ensure that enough funds are available for the social welfare schemes.
The chief minister said they didn't intend to carry out a political witch hunt but an SIT will be formed to probe the ""corruption sagas"" of the Kejriwal and Atishi govts.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," Chief minister says dealing with pollution has to be a year-round activity and her govt will have a 365-day plan . Gupta said they didn't intend to carry out a political witch hunt but an SIT will be formed to probe the ""corruption sagas""","[('pollution', 5), ('water', 4), ('minister', 3), ('Gupta', 3), ('plan', 3)]",Environment,"Year-round plan in works to tackle air, water pollution: Delhi CM Rekha Gupta - Environment","Year-round plan in works to tackle air, water pollution: Delhi CM Rekha Gupta -  Chief minister says dealing with pollution has to be a year-round activity and her govt will have a 365-day plan . Gupta said they didn't intend to carry out a political witch hunt but an SIT will be formed to probe the ""corruption sagas"""
"4 years after house bulldozed, Madhya Pradesh leader Shafiq Ansari cleared in rape case",https://timesofindia.indiatimes.com/india/4-years-after-house-bulldozed-madhya-pradesh-leader-shafiq-ansari-cleared-in-rape-case/articleshow/118462151.cms,Madhya Pradesh,General News,"BHOPAL: A court in Madhya Pradesh's Rajgarh district acquitted a former ward councillor of rape charges on finding that the complainant levelled the allegations against him because his complaint had led to the demolition of her home. Although Shafiq Ansari has now been proven innocent, he no longer has a house of his own. His home was bulldozed by the administration less than 10 days after the woman filed the complaint in March 2021. ""I had built the house on 4,000sqft of land with my hard-earned savings. Now, there's only rubble. We are staying in my brother's house,"" Ansari (58) told TOI Friday.
""We had all the papers. It was alleged that the house was built without permission, but we were not provided a chance to show records or say anything. It was simply torn down. I have a family of seven. They all suffered. I went to jail for three months,"" said Ansari, a former corporator of Sarangpur civic body, around 130km from Bhopal. As per the woman's complaint on March 4, 2021, Ansari called her to his house on Feb 4, 2021, on the pretext of offering help for her son's wedding but raped her.
Ansari's house was demolished on March 13, 2021. ""They came at 7am. The administration arrived with bulldozers, and before my family members could understand anything, my house was in ruins. I was absconding at that time. I surrendered the next day,"" Ansari said.
The verdict came on Feb 14 this year. First additional sessions ju dge of Rajgarh district, Chitrendra Singh Solanki, noted ""significant inconsistencies"" in the testimonies of the woman and her husband. The court observed that although there is a police station close to her house, which was demolished, she did not report the alleged rape immediately. For 15 days after her son's wedding, she neither informed her husband or any of her sons about the alleged crime, and no reason was given for this delay, the court noted. No human sperm was found on samples of the complainant, the order said, concluding that rape could not be confirmed from clinical and scientific evidence.
Ansari plans to move court seeking justice for the demolition of his house.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," Shafiq Ansari's house was demolished less than 10 days after the woman filed the complaint in March 2021 . Ansari, a former corporator of Sarangpur civic body, no longer has a house of his own . The court noted ""significant inconsistencies"" in the woman's testimonies of the woman and her husband .","[('house', 9), ('Ansari', 7), ('court', 4), ('March', 4), ('rape', 3)]",Crime,"4 years after house bulldozed, Madhya Pradesh leader Shafiq Ansari cleared in rape case - Crime","4 years after house bulldozed, Madhya Pradesh leader Shafiq Ansari cleared in rape case -  Shafiq Ansari's house was demolished less than 10 days after the woman filed the complaint in March 2021 . Ansari, a former corporator of Sarangpur civic body, no longer has a house of his own . The court noted ""significant inconsistencies"" in the woman's testimonies of the woman and her husband ."
"Amid Tamil Nadu row, PM Modi says it's 'our duty to embrace all languages'",https://timesofindia.indiatimes.com/india/amid-tamil-nadu-row-pm-modi-says-its-our-duty-to-embrace-all-languages/articleshow/118461786.cms,Tamil Nadu,General News,"NEW DELHI: Amid DMK leaders' declaration that they were ready for a language war in protest against the 
three-language formula
, PM 
Narendra Modi
 on Friday said there has never been any animosity among 
Indian languages
 and each has enriched the other.
Addressing the inaugural function of the 98th Akhil Bharatiya Marathi Sahitya Sammelan in New Delhi, Modi said when efforts were made to create divisions based on languages, India's shared linguistic heritage gave a fitting reply. ""It is our social responsibility to distance ourselves from these misconceptions and embrace and enrich all languages,"" the PM added.
His remarks came on a day when 
Tamil Nadu
 CM M K Stalin reiterated his stand that implementation of the National Education Policy, 2020, was an attempt to impose a three-language formula throughout the country and said the state would stick to its two-language system.
The PM, meanwhile, said while languages were born in society, they also played a crucial role in shaping it. ""Language is not just a medium of communication but a carrier of our culture,"" he said, adding that today, all languages in the country were viewed as mainstream languages.
Modi highlighted that India was one of world's oldest living civilisations because it had consistently evolved, embraced new ideas, and welcomed changes. Pointing out that India's vast linguistic diversity was a testament to this evolution and served as a fundamental basis for unity, he compared language to a mother who imparted new and vast knowledge to her children without discrimination.
Modi also referred to efforts to promote education in all major languages and added that the mindset of neglecting talent due to the lack of English proficiency had changed.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," DMK leaders have declared that they are ready for a language war in protest against the three-language formula . PM Narendra Modi said there has never been any animosity among Indian languages and each has enriched the other . His remarks came on a day when Tamil Nadu CM M K Stalin reiterated his stand that implementation of the National Education Policy, 2020, was an attempt to impose a three language formula .","[('languages', 7), ('language', 5), ('Modi', 4), ('India', 4), ('PM', 3)]",Miscellaneous,"Amid Tamil Nadu row, PM Modi says it's 'our duty to embrace all languages' - Miscellaneous","Amid Tamil Nadu row, PM Modi says it's 'our duty to embrace all languages' -  DMK leaders have declared that they are ready for a language war in protest against the three-language formula . PM Narendra Modi said there has never been any animosity among Indian languages and each has enriched the other . His remarks came on a day when Tamil Nadu CM M K Stalin reiterated his stand that implementation of the National Education Policy, 2020, was an attempt to impose a three language formula ."
"Two more GBS deaths take Maharashtra toll to 21, India toll at 25",https://timesofindia.indiatimes.com/india/two-more-gbs-deaths-take-maharashtra-toll-to-21-india-toll-at-25/articleshow/118461108.cms,Maharashtra,General News,"KOLHAPUR/ NAGPUR: Maharashtra reported two more deaths linked to 
Guillain-Barre Syndrome
 (GBS) this year - one each in Kolhapur and Nagpur - taking the state's toll from the 
neurological infection
 to 21 and the country's fatality count to 25.
While an 80-year-old patient from Kolhapur who was on ventilator support succumbed to the complications caused by GBS on Feb 19, a 32-year-old man died in Nagpur on Friday. 
The octogenarian was the second GBS casualty from Kolhapur's Shahu Mill Colony and the fourth in the district. Pune, where the cluster started on Jan 9, has witnessed the highest caseload and the maximum number of deaths at 11. Andhra Pradesh, Assam, Tamil Nadu and Bengal account for a death each."," Maharashtra reported two more deaths linked to Guillain-Barre Syndrome (GBS) this year - one each in Kolhapur and Nagpur . Pune, where cluster started on Jan 9, has witnessed the highest caseload and the maximum number of deaths at 11 .","[('GBS', 3), ('year', 3), ('Kolhapur', 3), ('deaths', 2), ('Nagpur', 2)]",Miscellaneous,"Two more GBS deaths take Maharashtra toll to 21, India toll at 25 - Miscellaneous","Two more GBS deaths take Maharashtra toll to 21, India toll at 25 -  Maharashtra reported two more deaths linked to Guillain-Barre Syndrome (GBS) this year - one each in Kolhapur and Nagpur . Pune, where cluster started on Jan 9, has witnessed the highest caseload and the maximum number of deaths at 11 ."
Punjab police dismantles gangster Goldy Dhillon's target killing module; two arrested with weapons and drugs,https://timesofindia.indiatimes.com/india/punjab-police-dismantles-gangster-goldy-dhillons-target-killing-module-two-arrested-with-weapons-and-drugs/articleshow/118459716.cms,Punjab,General News,"PATIALA: The police in Patiala busted a 
target killing module
 operated by foreign-based gangster 
Goldy Dhillon
 with the arrest of its two operatives from Rajpura, said Director General of Police (DGP) Punjab Gaurav Yadav here on Friday.
Those arrested were identified as Malkit Singh alias Max, a native of village Rodala in Ajnala, Amritsar, and presently residing in village Sempali in Fatehgarh Sahib, and Sandeep Singh alias Deep, a resident of Sirhind in Fatehgarh Sahib.
Police teams also recovered five pistols—including three .32 calibre, one .30 calibre, and one .315 calibre country-made pistol—along with 15 cartridges and 1300 intoxicant tablets from their possession, besides impounding their black-coloured Honda Activa scooter.
DGP Gaurav Yadav said that preliminary investigations revealed that both the arrested accused were wanted in two criminal cases pertaining to extortion and were also tasked by their handler Goldy Dhillon to execute target killings in Mohali and Rajpura. “Both the arrested accused have a history of criminal activities, with multiple cases pertaining to the NDPS Act, Arms Act, attempt to murder, extortion, dacoity, snatching, etc., registered against them,"" he added. Further investigations are on to establish backward and forward linkages in this case. More arrests and recoveries are likely in the coming days,” he added.
Patiala Senior Superintendent of Police (SSP) said that police teams of Special Cell Rajpura received reliable input that two operatives of Gangster Goldy Dhillon were on the way to deliver intoxicant tablets to someone at Sirhind-Rajpura road, following which, they had a plan to carry out a target killing in Rajpura.
Acting swiftly, the Special Cell Rajpura, led by Inspector Harry Boparai, launched an intelligence-based operation and managed to locate and arrest both the accused after recovering weapons and drugs from their possession, he said.
The police said that two prominent persons, who also received threat calls from the foreign-based gangster, were on the target of the arrested accused. Further investigations are on, he added. A case was registered under section 22 of the NDPS Act and section 25 of the Arms Act at Police Station Sadar Rajpura in Patiala.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," Police in Patiala busted target killing module operated by foreign-based gangster Goldy Dhillon . Malkit Singh alias Max and Sandeep Singh alias Deep arrested in Rajpura . Police teams also recovered five pistols, 15 cartridges and 1300 intoxicant tablets from their possession .","[('Rajpura', 7), ('target', 4), ('Police', 4), ('Act', 4), ('police', 3)]",Crime,Punjab police dismantles gangster Goldy Dhillon's target killing module; two arrested with weapons and drugs - Crime,"Punjab police dismantles gangster Goldy Dhillon's target killing module; two arrested with weapons and drugs -  Police in Patiala busted target killing module operated by foreign-based gangster Goldy Dhillon . Malkit Singh alias Max and Sandeep Singh alias Deep arrested in Rajpura . Police teams also recovered five pistols, 15 cartridges and 1300 intoxicant tablets from their possession ."
Delhi Police recovers over 450 stolen mobile phones worth Rs 1 crore,https://timesofindia.indiatimes.com/india/delhi-police-recovers-over-450-stolen-mobile-phones-worth-rs-1-crore/articleshow/118459062.cms,Delhi,Delhi,"Delhi metro 
 
NEW DELHI: The 
metro unit of Delhi Police
 has recovered and returned more than 450 stolen mobile phones valued at over Rs 1 crore to their owners in 20 days, officials said on Friday. Mobile thefts constitute over 80 per cent of all crimes registered in 
Delhi Metro
, police said. 
The metro unit of 
Delhi Police
 on January 30 started working on '
Mission Reconnect
 -Your Phone's Journey Back Home', under which five specialised units, including a technical unit, field unit, nodal officers' unit, court facilitation unit and reconnecting unit, were formed to solve the issue, deputy commissioner of police (metro), Hareshwar Swami, said. 
""Thirty-two specialised teams traversed 16 states - from Kerala to Jammu and Kashmir, and from Meghalaya to Gujarat - tracking stolen devices, apprehending perpetrators, and restoring property to its rightful owners,"" the DCP said. 
The unit officially launched the 'Mission Reconnect - Your Phone's Journey Back Home' at a function held at the Utsav Sadan on Friday where around 250 complainants were present. A total of 201 mobile phones were handed over to their legitimate owners at the function.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," Delhi metro unit of Delhi Police has recovered and returned more than 450 stolen mobile phones valued at over Rs 1 crore . Mobile thefts constitute over 80 per cent of all crimes registered in Delhi Metro, police said .","[('unit', 8), ('Delhi', 4), ('metro', 4), ('owners', 3), ('Police', 2)]",Miscellaneous,Delhi Police recovers over 450 stolen mobile phones worth Rs 1 crore - Miscellaneous,"Delhi Police recovers over 450 stolen mobile phones worth Rs 1 crore -  Delhi metro unit of Delhi Police has recovered and returned more than 450 stolen mobile phones valued at over Rs 1 crore . Mobile thefts constitute over 80 per cent of all crimes registered in Delhi Metro, police said ."
"After drubbing AAP in Delhi, 'Bangal cholo' next for BJP?",https://timesofindia.indiatimes.com/india/after-drubbing-aap-in-delhi-bangla-chalo-next-for-bjp/articleshow/118116026.cms,Delhi,Delhi,"PTI photo (File)
 
NEW DELHI: Since 2014, the BJP has been moving from one poll victory to another -- both on the national as well as the state level -- with seemingly nothing able to stand in the way of the Modi wave. 
However, one thorn in BJP's side was Delhi, where the Arvind Kejriwal-led fortress managed to survive the saffron tsunami not once, but twice.
However, 2025 proved to be a breakthrough year as the BJP broke the 27-year-old jinx to storm back to power in the Capital. It defeated the indomitable Aam Aadmi Party (AAP) by winning 48 seats in the 70-member Delhi assembly.
Bristling with confidence after acquiring the Rajdhani in the North, the party has already given clear indications that its next mission is to make inroads in the eastern state of West Bengal.
Like Delhi, making inroads in the Mamata Banerjee-ruled Bengal has been an uphill task for the BJP for the past two assembly elections.
In the 2016 assembly elections, buoyed by the majority mandate at the Centre, the BJP expected to emerge as a key party but faced an embarrassing defeat. The party won only 3 seats in the 294-seat West Bengal assembly.
In 2019, the BJP came back to power at the Centre with an even bigger mandate and by then had a decent presence in even the northeastern states, where BJP had negligible presence before 2014.
Two years down the line, the party made another attempt to breach the fortress of Mamata Banerjee but to no avail. 
In 2021, when the results trickled in, the BJP won only 77 seats with TMC winning a whopping mandate by securing victory on 215 seats. Though the BJP vote and seat share improved substantially, it was far less than the 200-seat mark the party had expected to win in the polls.
Just like Delhi in 2015 and 2020, the BJP fell flat in Bengal in 2016 and 2021.
However, with the BJP finally triumphing in Delhi, Bengal BJP leaders now see the possibility that Bengal may not be ""mission impossible"" anymore.
As BJP was celebrating its victory in the Capital on February 8, its top Bengal leader Suvendu Adhikari shot off a salvo at CM Mamata Banerjee, saying after the national capital, Bengal would vote for the BJP by uprooting ruling TMC.
""Delhi ki jeet hamari hai ... 2026 mein Bengal ki baari hai … (Delhi's victory is ours ... in 2026 it will be Bengal's turn),"" Adhikari said while reacting to BJP's massive comeback after 27 years of political exile.
Pumped by the BJP's historic win in Delhi, Bengal BJP chief and Union minister Sukanta Majumdar said Delhi's victory would serve as a morale booster for party workers in West Bengal ahead of next year's assembly elections.
BJP's Amit Malviya, who heads the party's I-T department, said that ""jitters from the Delhi results are being felt in West Bengal"" and claimed that ""nervous"" Mamata Banerjee would go solo in next year's assembly polls.
""A nervous Mamata Banerjee has told TMC MLAs that there will be NO alliance in Bengal … It is not surprising that she applies a different yardstick to the opposition in Haryana and Delhi but is unwilling to cede space for the alliance at home,"" Malviya wrote on X.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
.", The BJP broke the 27-year-old jinx to storm back to power in the Capital . The party has already given clear indications that its next mission is to make inroads in the eastern state of West Bengal .,"[('BJP', 18), ('Bengal', 13), ('Delhi', 11), ('party', 7), ('assembly', 6)]",Miscellaneous,"After drubbing AAP in Delhi, 'Bangal cholo' next for BJP? - Miscellaneous","After drubbing AAP in Delhi, 'Bangal cholo' next for BJP? -  The BJP broke the 27-year-old jinx to storm back to power in the Capital . The party has already given clear indications that its next mission is to make inroads in the eastern state of West Bengal ."
"No discontent in Punjab AAP, asserts Bhagwant Mann; all MLAs attend Delhi meet",https://timesofindia.indiatimes.com/india/no-discontent-in-punjab-aap-asserts-bhagwant-mann-all-mlas-attend-delhi-meet/articleshow/118157908.cms,Delhi,Delhi,"NEW DELHI: Punjab CM 
Bhagwant Mann
 on Tuesday dismissed claims by Congress and BJP of unrest brewing among AAP MLAs, tamping down speculation that the ripples from AAP's Delhi debacle may pose a risk to his govt.
Talking to reporters after the surprise move of party boss Arvind Kejriwal to summon Punjab CM, ministers, MPs and MLAs to Delhi, Mann took on Congress and said ""switching sides is Congress's culture"" and reminded Partap Singh Bajwa, the leader of opposition in Punjab, that his party drew a blank in Delhi.
Ahead of the meeting, which AAP said was attended by all 92 Punjab MLAs, Bajwa had alleged that the party was preparing the ground to oust Mann from the CM's post. He had also claimed that over 30 AAP MLAs were in touch with his party. 
Meeting sparks speculation about instability in 
Punjab AAP
 Instead of counting our MLAs, he should see how many Congress candidates won in Delhi,"" Bhagwant Mann said. Kejriwal and other senior functionaries held a meeting with Punjab functionaries to ostensibly thank them for their involvement in Delhi campaign.
According to AAP, the meeting at Kapurthala House saw all MLAs from Punjab and MPs from the state come together in what the party projected as a show of solidarity and normalcy amid the gloom of the Delhi loss. Besides Kejriwal and former deputy CM Manish Sisodia, national organisational secretary and Rajya Sabha MP Sandeep Pathak and RS MP Raghav Chadha were present.
Kejriwal is learnt to have asked the Punjab MLAs to reconnect with voters while working unitedly to pave the way for AAP's return to office in 2027. The timing of the meeting following AAP's defeat in Delhi had sparked speculation about instability in the party's Punjab unit. Asked about Bajwa's allegation that he could quit AAP with a group of MLAs, Mann said, ""Let them say so. We cultivated the party with hard work by going to every nook and corner of the state. They don't worry about their own party and find fault with others. It is Congress that has a culture of switching parties.""
BJP's newly-elected Rajouri Garden MLA Manjinder Singh Sirsa claimed Mann's ""nervousness and body language"" after the meeting ""supports the conspiracy theory"" that he had spoken of on Monday. Sirsa had alleged that Kejriwal was scripting a narrative to oust Mann. 
AAP's estranged RS MP Swati Maliwal also took a dig at Kejriwal and said, ""Some people have started treating Punjab as their personal ATM. Today, massive corruption is rampant in Punjab.""
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," Punjab CM Bhagwant Mann dismisses claims by Congress and BJP of unrest brewing among AAP MLAs . Mann said ""switching sides is Congress's culture"" and reminded opposition leader Partap Singh Bajwa that his party drew a blank in Delhi . Mann's ""nervousness and body language"" after meeting ""supports conspiracy theory""","[('AAP', 10), ('MLAs', 8), ('party', 8), ('Mann', 7), ('Delhi', 7)]",Miscellaneous,"No discontent in Punjab AAP, asserts Bhagwant Mann; all MLAs attend Delhi meet - Miscellaneous","No discontent in Punjab AAP, asserts Bhagwant Mann; all MLAs attend Delhi meet -  Punjab CM Bhagwant Mann dismisses claims by Congress and BJP of unrest brewing among AAP MLAs . Mann said ""switching sides is Congress's culture"" and reminded opposition leader Partap Singh Bajwa that his party drew a blank in Delhi . Mann's ""nervousness and body language"" after meeting ""supports conspiracy theory"""
Delhi Secretariat readies to welcome new govt,https://timesofindia.indiatimes.com/city/delhi/delhi-secretariat-readies-to-welcome-new-govt/articleshow/118153958.cms,Delhi,Delhi,"New Delhi: 
Delhi Secretariat
 is being prepared to serve as the seat of the new BJP govt in office, with changes to the nameplates of former ministers, repairs, and other maintenance works. After winning the assembly polls, a meeting of the BJP legislative party is yet to take place to elect the leader of the House, who will be the 
new chief minister
 of Delhi.
The security at Delhi Secretariat was ramped up on Saturday while the counting of votes was progressing to ensure the safety of official records. A senior general administration department (GAD) officer said that routine maintenance works were being sped up to ensure the Delhi Secretariat premises was ready to receive the new govt. The nameplates of several ministers in the previous govt were removed, and their offices were also being spruced up for the new council of ministers.
The formation of the new govt and the oath-taking ceremony of the chief minister in Delhi are likely to take place after 
Prime Minister Narendra Modi
 returns from his foreign visit at the weekend. 
Meanwhile, the political circle and BJP's offices are abuzz with speculation over the names of the prospective chief minister.
Stay updated with breaking 
news
, 
bank holidays
 and upcoming
 public holidays in march
.", New Delhi Secretariat is being prepared to serve as the new chief minister . The nameplates of several ministers in the previous government have been removed . The new Delhi government is yet to announce the name of the new leader .,"[('Delhi', 6), ('govt', 4), ('Secretariat', 3), ('BJP', 3), ('ministers', 3)]",Miscellaneous,Delhi Secretariat readies to welcome new govt - Miscellaneous,Delhi Secretariat readies to welcome new govt -  New Delhi Secretariat is being prepared to serve as the new chief minister . The nameplates of several ministers in the previous government have been removed . The new Delhi government is yet to announce the name of the new leader .
"'They talk about others but ... ': AAP, Congress spar in Punjab over ‘MLAs in touch’ claim",https://timesofindia.indiatimes.com/india/they-talk-about-others-but-aap-congress-spar-in-punjab-over-mlas-in-touch-claim/articleshow/118141139.cms,Punjab,General News,"Bhagwant Mann. (Photo/PTI)
 
NEW DELHI: Punjab chief minister Bhagwant Mann on Tuesday responded to Congress leader Partap Singh Bajwa's claim that 30 Aam Aadmi Party (AAP) MLAs were in contact with him. 
""Pratap Singh Bajwa has been saying this for almost three years. Let him say whatever he wants. I would ask Pratap Singh Bajwa to count how many MLAs they (Congress) have in Delhi,"" Mann told reporters. 
Mann also said, ""He (Bajwa) has been making claims earlier also that 20 MLAs or 40 MLAs are in touch with him. Let them say it. We have formed this party with our sweat and blood, going among people in villages and towns in the state.""
Poll
Do you agree with the claim made by Congress?
No, it's just political talk
Yes, it seems likely
After AAP's loss in the Delhi assembly elections, Bajwa claimed that an internal struggle would start between Punjab Chief Minister Bhagwant Mann and AAP chief Arvind Kejriwal. He also said that over 30 AAP MLAs were in contact with the Congress and were ready to switch sides. 
Congress MP Pramod Tiwari, however, denied that AAP MLAs were in touch with either the BJP or Congress. He said Congress does not support breaking other parties but is observing the political situation in Punjab. 
""BJP has a history of horse-trading and breaking parties—we have seen this in Maharashtra, Goa, Manipur also. They will try to do this in Punjab as well. As far as Congress is concerned, we do not believe in breaking parties. Our party's state leadership is monitoring the situation over there,"" Tiwari said while talking to news agency ANI. 
Earlier in the day, Mann arrived at Kapurthala House in New Delhi for a meeting with AAP national convenor Arvind Kejriwal amid reports of differences within AAP. 
""Our MLAs reached here, and we had a meeting with party national convenor Arvind Kejriwal. He thanked them all for campaigning during the Delhi Assembly elections. Our government in Punjab has always worked for public welfare, whether in education or infrastructure. We need to speed up… Winning and losing is a part of the game. People of Delhi still remember us as someone who worked for them. We have two years more in Punjab. We will make Punjab a good model,"" Mann told the media. 
AAP, which had ruled Delhi for ten years, won only 22 out of 70 seats in the February 5 elections, while the BJP secured a majority, ending AAP's rule in the capital. 
There is also speculation that Kejriwal may take a bigger role in Punjab politics, with discussions about him contesting the vacant Ludhiana Assembly seat. However, AAP MP Malvinder Singh Kang dismissed these reports, calling the meeting a ""routine strategy session."" 
Meanwhile, BJP leader Rohini Vijender Gupta criticized AAP, saying the party is struggling after its defeat in the Delhi elections. 
""Kejriwal is doing a meeting, but it is a sinking ship. They are trying to keep their people together...but it will not last long,"" Gupta said. 
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," Punjab chief minister Bhagwant Mann responds to Congress leader Partap Singh Bajwa's claim that 30 AAP MLAs were in contact with him . Mann: ""Let him say whatever he wants. Let them say it. Let him count how many MLAs they (Congress) have in Delhi,"" Mann told reporters . Mann arrived at Kapurthala House in New Delhi for meeting with AAP national convenor Arvind Kejriwal .","[('AAP', 11), ('Congress', 8), ('Mann', 7), ('MLAs', 7), ('Delhi', 7)]",Miscellaneous,"'They talk about others but ... ': AAP, Congress spar in Punjab over ‘MLAs in touch’ claim - Miscellaneous","'They talk about others but ... ': AAP, Congress spar in Punjab over ‘MLAs in touch’ claim -  Punjab chief minister Bhagwant Mann responds to Congress leader Partap Singh Bajwa's claim that 30 AAP MLAs were in contact with him . Mann: ""Let him say whatever he wants. Let them say it. Let him count how many MLAs they (Congress) have in Delhi,"" Mann told reporters . Mann arrived at Kapurthala House in New Delhi for meeting with AAP national convenor Arvind Kejriwal ."
